year,latitude,longitude,depth,mag
2009,5.364,94.38,50,5.1
2009,31.462,70.034,9.4,4.4
2009,10.878,91.836,25.1,4.5
2009,36.183,71.026,122.5,4.3
2009,35.295,72.311,64.9,4.1
2009,30.634,83.734,32,4.1
2009,6.427,92.355,35,4.5
2009,9.822,91.839,38.6,4.8
2009,36.12,77.091,20,4.6
2009,30.154,68.474,35.5,5
2009,36.476,71.191,212.7,4.3
2009,10.963,91.781,10,4.2
2009,4.674,95.049,35,5
2009,11.178,92.526,35,4.5
2009,10.67,91.688,10,5.1
2009,36.307,71.279,150,4.6
2009,36.102,78.016,106.9,4.6
2009,4.665,96.626,35,4.9
2009,15.663,96.015,25,4.6
2009,15.56,96.06,35,4.5
2009,15.577,95.993,7.9,5.1
2009,24.823,95.179,115.5,4.7
2009,4.945,96.011,138.9,4.6
2009,30.518,67.776,10,5
2009,15.735,96.013,10,4.3
2009,15.637,95.94,10,4.6
2009,35.317,81.433,10,4.9
2009,20.473,89.107,10,4.8
2009,13.176,92.291,35,4.4
2009,23.291,92.82,35,4.5
2009,25.836,94.67,33,4.8
2009,34.203,73.9,12,5.5
2009,30.667,83.857,35,5.1
2009,36.641,71.245,93.2,4.3
2009,10.91,91.769,35,4.2
2009,36.625,71.102,223.5,4.6
2009,36.584,70.848,74.8,4.9
2009,31.286,70.075,49,3.8
2009,15.604,96.171,34.3,4.3
2009,5.593,94.861,85.5,4.7
2009,34.398,73.482,8.7,4.6
2009,10.051,93.747,142.1,4.4
2009,36.591,70.982,216.7,4.5
2009,24.162,94.666,53.8,4.2
2009,34.38,73.622,71,4.1
2009,8.475,93.339,86.9,4.4
2009,7.581,93.922,46.4,4.4
2009,15.703,95.96,10,4.5
2009,31.398,70.054,10,4.2
2009,5.006,94.818,78.3,4.8
2009,11.803,94.962,26.4,5.1
2009,32.528,76.564,36.1,3.9
2009,23.339,93.974,75.9,4.5
2009,36.195,71.183,110.8,4.7
2009,11.712,95.006,26.6,4.4
2009,8.718,93.703,35,4.2
2009,13.727,92.819,35,5.1
2009,36.182,76.393,36.9,4
2009,35.069,81.84,10,3.8
2009,36.919,71.79,117.2,4.8
2009,36.575,70.306,187.8,4.2
2009,36.461,70.462,195.2,4.6
2009,15.646,96.038,35,5
2009,37.086,72.039,137.9,4.7
2009,35.869,69.932,91.5,5.2
2009,36.483,70.405,205.6,4.9
2009,35.914,69.97,86.2,4.9
2009,4.662,95.814,128.5,4.5
2009,5.11,94.14,45.7,4.6
2009,19.983,95.166,109.3,4.4
2009,36.263,71.027,124.5,4.4
2009,36.457,70.145,214.8,4.1
2009,35.874,72.344,41.8,4.8
2009,31.807,78.343,28.2,4.2
2009,7.976,92.163,35,4.3
2009,7.73,91.935,35,4.5
2009,27.692,92.756,19.7,4.7
2009,36.22,71.519,101.2,4
2009,23.011,88.706,35,4.2
2009,36.442,70.883,186.7,5.7
2009,6.449,94.169,35,5.3
2009,10.251,93.937,35,4.9
2009,21.585,75.332,10,4.1
2009,36.419,70.743,204.8,6.6
2009,36.542,70.98,181.1,4.3
2009,37.17,96.789,10,4
2009,36.45,71.34,132.2,4
2009,6.805,92.217,35,4.1
2008,36.415,70.769,204.1,4.5
2008,31.844,79.753,35,3.2
2008,31.955,79.912,42.4,3.6
2008,35.989,71.246,95.7,4.7
2008,8.366,93.947,110.2,4.4
2008,36.451,71.059,155.3,4.3
2008,36.508,70.963,196.5,4.6
2008,36.431,71.108,143.6,4.7
2008,34.489,90.55,24.8,3.7
2008,36.389,71.075,151,5.8
2008,33.262,91.681,44.7,3.5
2008,28.684,96.117,41.6,3.7
2008,36.392,71.146,98,3.8
2008,36.325,69.779,151.3,4.2
2008,30.229,67.789,10,3.5
2008,36.252,71.31,98.8,4.1
2008,29.888,81.979,28,4.1
2008,24.854,97.785,10,3.8
2008,23.97,97.569,35,4.8
2008,27.235,88.631,49.2,4.8
2008,30.858,83.442,35,3.7
2008,36.409,69.188,10,3.4
2008,36.409,70.753,201.9,4.9
2008,36.488,70.008,229.5,4.3
2008,24.612,94.729,87.2,4.4
2008,24.998,91.966,41.7,4
2008,7.919,91.907,35,4.2
2008,28.179,84.23,10,3.5
2008,31.817,70.345,35,4
2008,36.04,70.866,105.9,4.1
2008,35.962,71.407,74.4,5
2008,22.564,95.695,27.2,4.6
2008,4.833,95.04,56.3,5.4
2008,35.867,73.51,84.7,4.5
2008,22.746,95.898,10,5.3
2008,36.652,71.431,171.5,4.5
2008,36.681,71.341,183.2,4
2008,36.203,76.217,41.8,4
2008,22.583,94.526,108.1,4.5
2008,29.858,81.936,10,3.7
2008,37.088,71.927,132.2,4.7
